DateTime,isl_id,isl_qd,isl_af
2004-11-19,388.84,41.52,56264.39
2004-11-20,370.61,41.53,56519.49
2004-11-21,293.99,41.54,56604.75
2004-11-22,438.8,41.56,56989.14
2004-11-23,393.54,41.59,57289.71
2004-11-24,460.6,41.61,57723.29
2004-11-25,436.63,41.64,58115.28
2004-11-26,416.24,41.67,58466.84
2004-11-27,466.12,41.69,58909.39
2004-11-28,328.71,41.72,59087.33
2004-11-29,468.46,41.74,59534.52
2004-11-30,424.61,41.76,59894.73
2004-12-01,354.47,41.78,60119.79
2004-12-02,236.0,41.8,60119.79
2004-12-03,579.22,41.81,60802.54
2004-12-04,416.44,41.85,61170.35
2004-12-05,366.86,41.87,61447.76
2004-12-06,411.44,41.89,61819.54
2004-12-07,476.99,41.93,62333.24
2004-12-08,525.95,41.96,62946.03
2004-12-09,355.91,41.99,63231.48
2004-12-10,371.3,42.01,63567.28
2004-12-11,344.47,42.03,63851.84
2004-12-12,345.68,42.05,64138.8
2004-12-13,395.9,42.06,64523.39
2004-12-14,323.38,42.08,64766.13
2004-12-15,347.56,42.1,65054.84
2004-12-16,348.4,42.12,65347.21
2004-12-17,372.4,42.14,65691.14
2004-12-18,373.1,42.16,66034.48
2004-12-19,357.63,42.18,66331.26
2004-12-20,334.55,42.2,66578.31
2004-12-21,467.81,42.22,67077.77
2004-12-22,343.19,42.24,67330.05
2004-12-23,324.4,42.26,67529.2
2004-12-24,400.19,42.27,67884.62
2004-12-25,368.81,42.29,68189.7
2004-12-26,315.9,42.31,68393.8
2004-12-27,307.25,42.32,68598.59
2004-12-28,403.12,42.34,69007.42
2004-12-29,398.62,70.86,69421.21
2004-12-30,477.28,42.87,69993.0
2004-12-31,436.78,40.19,70466.61
2005-01-01,385.68,40.21,70834.91
2005-01-02,388.96,40.23,71207.73
2005-01-03,388.64,40.25,71579.91
2005-01-04,336.42,40.27,71846.52
2005-01-05,399.68,40.29,72224.73
2005-01-06,346.63,40.31,72493.74
2005-01-07,353.18,40.32,72763.84
